Unnamed: 0,Company,Codice ISO paese,Ultimo anno disp.,"Totale valore della produzione
migl USD"
772.0,"REPSOL POLIMEROS, UNIPESSOAL, LDA",PT,2022.0,918096.344472789
208.0,"INDORAMA VENTURES PORTUGAL PTA, UNIPESSOAL, LDA",PT,2022.0,701200.262729176
1287.0,"BONDALTI CHEMICALS, S.A.",PT,2022.0,554822.525909556
1664.0,"CIN - CORPORACAO INDUSTRIAL DO NORTE, S.A.",PT,2022.0,421063.119343167
2117.0,"COMPANHIA INDUSTRIAL DE RESINAS SINTETICAS, CIRES, LDA",PT,2022.0,329210.494963554
647.0,QATAR PETROCHEMICAL COMPANY (QAPCO) Q.S.C,QA,2021.0,1125876.97810507
1418.0,QATARGAS OPERATING COMPANY LIMITED,QA,2020.0,500000.0
1735.0,QATAR CHEMICAL COMPANY LIMITED (Q-CHEM),QA,2022.0,400000.0
1351.0,MESAIEED PETROCHEMICAL HOLDING COMPANY Q.P.S.C.,QA,2023.0,474.725297927856
1405.0,AZOMURES SA,RO,2022.0,506556.152948153
1521.0,NITRAMONIA BC S.R.L.,RO,2022.0,464447.780930699
2195.0,CHIMCOMPLEX BORZESTI SA ONESTI,RO,2023.0,312961.657973662
2302.0,AGRII ROMANIA S.R.L.,RO,2022.0,296853.852697542
2734.0,LINDE GAZ ROMANIA SRL,RO,2022.0,247451.93902279
1157.0,HENKEL SRBIJA DOO BEOGRAD,RS,2022.0,619755.637517542
1916.0,ELIXIR ZORKA - MINERALNA DJUBRIVA DOO,RS,2022.0,363519.794544205
2196.0,ELIXIR PRAHOVO DOO,RS,2022.0,312946.374388754
2327.0,HIP-PETROHEMIJA DOO PANCEVO,RS,2023.0,292750.692091372
5508.0,MB - NAMENSKA AD LUCANI,RS,2023.0,92175.3399815559
60.0,UNITED COMPANY RUSAL INTERNATIONAL PUBLIC JOINT-STOCK COMPANY,RU,2023.0,12213000.0
164.0,PUBLIC JOINT STOCK COMPANY PHOSAGRO,RU,2023.0,4917140.60890488
303.0,PUBLIC JOINT-STOCK COMPANY NIZHNEKAMSKNEFTEKHIM,RU,2023.0,2633910.89359019
380.0,PUBLIC JOINT STOCK COMPANY ACRON,RU,2023.0,2010998.008308
96.0,"EUROCHEM - USOLSKY POTASH COMPLEX, LIMITED LIABILITY COMPANY",RU,2022.0,1653667.73688959
39.0,SADARA CHEMICAL COMPANY,SA,2023.0,4697973.57835174
261.0,SABIC AGRI-NUTRIENTS COMPANY (A SAUDI JOINT STOCK COMPANY),SA,2023.0,3092719.36129788
338.0,AL FANAR CLOSED JOINT STOCK COMPANY,SA,2023.0,2266666.78488255
348.0,SAUDI KAYAN PETROCHEMICAL COMPANY SAUDI JOINT STOCK COMPANY,SA,2023.0,2195187.31448793
377.0,SAHARA INTERNATIONAL PETROCHEMICAL COMPANY( (SAUDI JOINT STOCK COMPANY),SA,2023.0,2031451.03928176
346.0,HEXPOL AB,SE,2023.0,2202139.17799294
652.0,YARA AB,SE,2022.0,1111782.69025463
1114.0,NOURYON PULP AND PERFORMANCE CHEMICALS AB,SE,2022.0,644182.942366734
1175.0,PERSTORP OXO AB,SE,2022.0,609170.140504837
1386.0,PERSTORP SPECIALTY CHEMICALS AB,SE,2022.0,514016.747995719
126.0,SYNGENTA ASIA PACIFIC PTE. LTD.,SG,2022.0,6259773.29494435
209.0,NESTE SINGAPORE PTE. LTD.,SG,2022.0,3868601.28215238
243.0,CHINA XLX FERTILISER LIMITED,SG,2023.0,3323219.96049666
283.0,PCS PTE. LTD.,SG,2022.0,2830425.70386014
