"Unnamed: 0,Company,Inactive,Quoted,Branch,OwnData,Woco,Codice ISO paese,""Codice NACE Rev. 2, core code (4 cifre)"",Codice di consolidamento,Ultimo anno disp.,""Totale valore della produzione"
"migl USD"",""Numero dipendenti"
"Ultimo anno disp."""
192.0,TATA CHEMICALS LIMITED,No,Sì,No,No,Sì,IN,2059,C1,2023,1855256.92295283,1834
301.0,KANSAI NEROLAC PAINTS LIMITED,No,Sì,No,No,No,IN,2030,C1,2023,935717.324088514,3784
405.0,SUPREME PETROCHEM LIMITED,No,Sì,No,No,No,IN,2014,C2,2023,630194.410428975,420
49.0,PARDIS PETROCHEMICAL COMPANY PUBLIC JOINT STOCK,No,Sì,No,No,Sì,IR,2012,C1,2023,8407954.95756809,2236
50.0,ARYA SASOL POLYMER COMPANY PUBLIC JOINT STOCK,No,Sì,No,No,Sì,IR,2014,C1,2023,8350041.26771216,2524
76.0,SHIRAZ PETROCHEMICALS COMPANY PUBLIC JOINT STOCK,No,Sì,No,No,Sì,IR,2059,C1,2023,5575617.60695063,2289
127.0,KHARK PETROCHEMICAL COMPANY PUBLIC JOINT STOCK,No,Sì,No,No,No,IR,2059,C1,2023,3392739.93985352,1394
145.0,JAMPILEN PETROCHEMICAL COMPANY PUBLIC JOINT STOCK,No,Sì,No,No,No,IR,2059,C1,2023,2841895.54099127,495
208.0,SOL SPA,No,Sì,No,No,No,IT,2011,C1,2023,1690175.60853004,6372
284.0,SAES GETTERS SPA,No,Sì,No,No,No,IT,2013,C1,2023,1053693.11288452,641
299.0,INDUSTRIE DE NORA S.P.A,No,Sì,No,No,No,IT,2059,C1,2023,962546.041978836,2010
321.0,FABBRICA ITALIANA LAPIS ED AFFINI S.P.A. F.I.L.A.,No,Sì,No,No,No,IT,2030,C2,2023,870508.340673447,11794
396.0,AQUAFIL S.P.A.,No,Sì,No,No,No,IT,2016,C1,2023,641682.627979279,2637
1120.0,DAR AL DAWA DEVELOPMENT AND INVESTMENT PUBLIC SHAREHOLDING COMPANY,No,Sì,No,No,Sì,JO,2014,C1,2023,106092.959137678,1067
39.0,KAO CORPORATION,No,Sì,No,No,No,JP,2042,C2,2023,10934289.0208471,34257
43.0,NIPPON PAINT HOLDINGS CO LTD,No,Sì,No,No,No,JP,2030,C2,2023,10269846.7880068,34393
47.0,RESONAC HOLDINGS CORPORATION,No,Sì,No,No,Sì,JP,2014,C2,2023,9082298.3762878,23840
61.0,DIC CORPORATION,No,Sì,No,No,No,JP,2030,C2,2023,7319681.27574772,22255
64.0,SHISEIDO COMPANY LIMITED,No,Sì,No,No,No,JP,2042,C2,2023,6907124.03312791,30540
292.0,OCI COMPANY LTD.,No,Sì,No,No,No,KR,2013,U1,2023,999554.562834928,1584
"481.0,""COSMO ADVANCED MATERIALS & TECHNOLOGY CO.,LTD."",No,Sì,No,No,No,KR,2059,U1,2023,488272.655816052,419"
627.0,TK CHEMICAL CORPORATION,No,Sì,No,No,No,KR,2060,U2,2023,322876.805488369,339
"881.0,""MIWON CHEMICALS CO.,LTD."",No,Sì,No,No,No,KR,2059,U1,2023,180406.201401376,212"
"1347.0,""DNF CO.,LTD."",No,Sì,No,No,Sì,KR,2059,U2,2023,65327.071958303,282"
89.0,KINGBOARD HOLDINGS LIMITED,No,Sì,No,No,No,KY,2016,C1,2023,5094514.68238115,34000
106.0,FUFENG GROUP LIMITED,No,Sì,No,No,No,KY,2059,C1,2023,3962384.81030893,17000
179.0,DONGYUE GROUP LIMITED,No,Sì,No,No,No,KY,2014,C1,2023,2054786.53170574,6977
189.0,CHINA SANJIANG FINE CHEMICALS COMPANY LIMITED,No,Sì,No,No,No,KY,2059,C1,2023,1890997.40501726,1307
229.0,VIVA GOODS COMPANY LIMITED,No,Sì,No,No,No,KY,2042,C1,2023,1446089.45953131,5400
628.0,PERIMETER SOLUTIONS SA,No,Sì,No,No,No,LU,2059,C1,2023,322108.0,219
1200.0,SOCIETE NATIONALE D'ELECTROLYSE ET DE PETROCHIMIE SA,No,Sì,No,No,Sì,MA,2059,C1,2023,90433.8452564776,575
68.0,PETRONAS CHEMICALS GROUP BERHAD,No,Sì,No,No,Sì,MY,2014,C1,2023,6270064.20491636,6465
80.0,BATU KAWAN BHD,No,Sì,No,No,Sì,MY,2059,C1,2023,5378490.746602,49372
309.0,SCIENTEX BERHAD,No,Sì,No,No,No,MY,2016,C1,2023,899159.102408886,3990
827.0,SENG FONG HOLDINGS BERHAD,No,Sì,No,No,No,MY,2017,C1,2023,200342.174037784,401
1608.0,INNATURE BERHAD,No,Sì,No,No,No,MY,2042,C1,2023,29517.3688432425,600
