;Ragione socialeCaratteri latini;Codice ISO paese;Ultimo anno disp.;"Totale valore della produzione
migl USD"
247.;MITSUI TOATSU CHEMICALS INC;JP;1996;3.276.340
248.;POET, LLC;US;2022;3.274.000
249.;SHANDONG SHENGTONG GROUP CO.,LTD.;CN;2017;3.264.811
250.;JOTUN A/S;NO;2023;3.264.012
251.;RENEWABLE ENERGY GROUP, INC.;US;2021;3.244.050
252.;ZHEJIANG YISHENG PETROCHEMICAL CO., LTD.;CN;2022;3.239.424
253.;TESSENDERLO GROUP NV;BE;2023;3.238.977
254.;JIAXING PETROCHEMICAL CO., LTD.;CN;2022;3.215.342
255.;NATURA COSMETICOS S.A.;BR;2023;3.171.079
256.;KIMBERLY-CLARK DE MEXICO, S.A.B. DE C.V.;MX;2023;3.150.170
257.;JANSSEN CILAG GMBH;DE;2022;3.145.731
258.;AVIENT CORP;US;2023;3.142.800
259.;AMORE PACIFIC GROUP;KR;2023;3.118.771
260.;UBE CORPORATION;JP;2023;3.095.782
261.;SABIC AGRI-NUTRIENTS COMPANY (A SAUDI JOINT STOCK COMPANY);SA;2023;3.092.719
262.;CHENGDU WINTRUE HOLDING CO., LTD.;CN;2023;3.057.503
263.;ALTANA AG;DE;2023;3.054.482
264.;SHAANXI YANCHANG ZHONGMEI YULIN ENERGY AND CHEMICAL CO., LTD.;CN;2022;3.041.961
265.;SIGMA COMPANY LIMITED;AU;2011;3.035.658
266.;YUNNANCHIHONGZINC&GERMANIUMCO.,LTD.;CN;2023;3.028.916
267.;TANGSHAN SANYOU CHEMICAL INDUSTRIES CO.,LTD.;CN;2023;3.028.404
268.;SUN CHEMICAL INK GPI;US;2017;3.000.000
269.;ECO SERVICES OPERATIONS LLC;US;2017;3.000.000
270.;WANHUA CHEMICAL (NINGBO) CO., LTD.;CN;2022;2.982.957
271.;JIANGSU SAILBOAT PETROCHEMICAL CO., LTD.;CN;2022;2.919.558
272.;MARUZEN PETROCHEMICAL CO.,LTD.;JP;2022;2.908.241
273.;LENZING AG;AT;2023;2.905.952
274.;ZHEJIANG JUHUA CO., LTD.;CN;2023;2.895.530
275.;ZHENJIANG QIMEI CHEMICAL CO., LTD.;CN;2021;2.877.013
276.;YARA NORGE AS;NO;2022;2.867.392
277.;NINGBO ZHONGJIN PETROCHEMICAL CO., LTD.;CN;2021;2.861.200
278.;QINGHAI SALT LAKE INDUSTRY CO.,LTD;CN;2023;2.857.289
279.;LION CORPORATION;JP;2023;2.853.661
280.;TRONOX HOLDINGS PLC;GB;2023;2.850.000
281.;AMOREPACIFIC CORP.;KR;2023;2.849.359
282.;JAMPILEN PETROCHEMICAL COMPANY PUBLIC JOINT STOCK;IR;2023;2.841.896
283.;PCS PTE. LTD.;SG;2022;2.830.426
284.;THE SCOTTS COMPANY OF OHIO;US;2018;2.826.000
285.;CATALER CORPORATION;JP;2022;2.820.393
286.;EXXONMOBIL CHEMICAL HOLLAND B.V.;NL;2022;2.815.314
287.;BASF ITALIA S.P.A.;IT;2022;2.776.037
288.;AVON PRODUCTS INC;US;2022;2.769.200
289.;DIVERSEY HOLDINGS LTD;US;2022;2.766.000
290.;DIVERSEY HOLDINGS, LTD.;KY;2022;2.765.900
291.;TPC GROUP INC.;US;2011;2.758.515
292.;SINOFERT HOLDINGS LIMITED;CN;2017;2.746.532
293.;PT AKR CORPORINDO TBK;ID;2023;2.733.259
294.;CROWNQUEST OPERATING, LLC;US;2022;2.715.000
295.;MPM HOLDINGS INC.;US;2018;2.705.000
296.;MOMENTIVE PERFORMANCE MATERIALS INC;US;2018;2.705.000
297.;NEWMARKET CORPORATION;US;2023;2.698.419
298.;JSR CORPORATION;JP;2023;2.693.296
299.;COROMANDEL INTERNATIONAL LIMITED;IN;2023;2.673.469
300.;VERMILION ENERGY TRUST;CA;2022;2.672.000
301.;ADEKA CORPORATION;JP;2023;2.643.107
302.;LUXI GROUP CO., LTD.;CN;2019;2.638.415
303.;PUBLIC JOINT-STOCK COMPANY NIZHNEKAMSKNEFTEKHIM;RU;2023;2.633.911
304.;NIPPON SHOKUBAI CO LTD;JP;2023;2.630.235
305.;ZHONGYAN JILANTAI SALT GROUP CO., LTD.;CN;2022;2.626.263
306.;EMS-CHEMIE HOLDING AG;CH;2023;2.620.871
307.;DIVERSEY, INC;US;2022;2.619.000
308.;EXXONMOBIL CHEMICAL FRANCE;FR;2022;2.587.730
309.;YIBIN TIANYUAN GROUP CO.,LTD.;CN;2023;2.574.122
310.;SYNTHOMER PLC;GB;2023;2.574.098
311.;DENKA COMPANY LIMITED;JP;2023;2.573.640
312.;TOKAI CARBON CO LTD;JP;2023;2.564.625
313.;HAINAN YISHENG PETROCHEMICAL CO., LTD.;CN;2021;2.564.288
314.;HENAN XINLIANXIN CHEMICAL INDUSTRY GROUP CO., LTD.;CN;2021;2.562.565
315.;ZEON CORPORATION;JP;2023;2.527.464
316.;HEXION INC.;US;2020;2.510.000
317.;PT UNILEVER INDONESIA TBK;ID;2023;2.504.637
318.;FANAVARAN PETROCHEMICAL COMPANY PUBLIC JOINT STOCK;IR;2023;2.490.397
319.;A. SCHULMAN, INC.;US;2017;2.461.124
320.;BASF ESPANOLA, SLU;ES;2022;2.457.990
321.;MEWBOURNE DEVELOPMENT CORPORATION;US;2022;2.444.000
322.;BASF AGRO B.V.;NL;2022;2.418.307
323.;DOW CHEMICAL IBERICA SL;ES;2022;2.414.094
324.;HUBEI YIHUA CHEMICAL INDUSTRY CO.,LTD;CN;2023;2.390.750
325.;SHENZHEN DYNANONIC CO.,LTD.;CN;2023;2.373.692
326.;PARFUMS CHRISTIAN DIOR;FR;2022;2.367.007
327.;YANTAI ZHAOJIN KANFORT PRECIOUS METALS INCORPORATED COMPANY;CN;2021;2.354.894
328.;DULUXGROUP LIMITED;AU;2022;2.343.367
329.;SHANDONG PROVINCE SHIDASHENGHUAHUAGONGGUFENYOUXIANGONGSIKENLI BRANCH COMPANY;CN;2013;2.325.984
330.;L'OCCITANE INTERNATIONAL S.A.;LU;2022;2.325.890
331.;STEPAN COMPANY;US;2023;2.325.768
332.;PETROCHEMICAL INDUSTRIES COMPANY K.S.C;KW;2020;2.314.815
333.;CROP CARE AUSTRALASIA PTY LTD;AU;2002;2.311.358
334.;CHANGCHUN CHEMICAL (JIANGSU) CO., LTD.;CN;2022;2.290.978
335.;UNILEVER UK LIMITED;GB;2022;2.286.878
336.;HEILONGJIANG BEIFENG AGRICULTURAL PRODUCTION MATERIALS GROUP CO., LTD.;CN;2021;2.281.246
