;Ragione socialeCaratteri latini;Codice ISO paese;Ultimo anno disp.;"Totale valore della produzione
migl USD"
5789.;LONGKOU UNION CHEMICAL CO.,LTD.;CN;2023;60.026
5790.;MANGALAM ORGANICS LIMITED;IN;2022;59.947
5791.;TIGRE S.A. TUBOS, CONEXIONES Y CABLES;BO;2022;59.810
5792.;HENAN PROVINCE QIANJIN CHEMICAL INDUSTRY INCORPORATED CORPORATION;CN;2010;59.773
5793.;AXALTA COATING SYSTEMS UK LIMITED;GB;2022;59.731
5794.;SHANDONG PUNTIUM PAINT CO., LTD.;CN;2022;59.629
5795.;FLORENTAISE S.A;FR;2023;59.294
5796.;COLORADO SA;MA;2022;59.161
5797.;HANDSOME CHEMICAL GROUP CO., LTD.;CN;2022;59.000
5798.;JIANGSU NEW TEXTILE INDUSTRY CO., LTD.;CN;2007;58.981
5799.;XILINGUOLESUNITEJIANYE CO.,LTD;CN;2010;58.960
5800.;KOTHARI PETROCHEMICALS LIMITED;IN;2022;58.697
5801.;SHOWA HOLDINGS CO., LTD.;JP;2023;58.637
5802.;CAPRO CORPORATION;KR;2023;58.628
5803.;LEJIN CHEMICAL (CHINA) INVESTMENT CO., LTD.;CN;2021;58.605
5804.;KAWAGUCHI CHEMICAL INDUSTRY CO LTD;JP;2023;58.582
5805.;JIANGYIN JINDALAI GROUP COMPANY;CN;2006;58.509
5806.;PYRAMID TECHNOPLAST LIMITED;IN;2022;58.490
5807.;JOINT-STOCK COMPANY CHEMICAL-METALLURGICAL PLANT;RU;2023;58.382
5808.;VIKAS LIFECARE LTD;IN;2022;58.063
5809.;THEJO ENGINEERING LIMITED;IN;2022;57.889
5810.;COLORMATRIX EUROPE LIMITED;GB;2022;57.876
5811.;JEONG MOON INFORMATION CO.,LTD.;KR;2023;57.831
5812.;XIXIAN CHEMICAL FERTILIZER FACTORY;CN;2009;57.825
5813.;TEKNO S.A. INDUSTRIA E COMERCIO;BR;2023;57.785
5814.;LIUZHOU DONGFENG CHEMICAL CO., LTD.;CN;2022;57.536
5815.;ORICA BRASIL LTDA;BR;2022;57.503
5816.;K & G INDUSTRIA E COMERCIO LTDA;BR;2022;57.503
5817.;ARIES AGRO LIMITED;IN;2022;57.438
5818.;JIANGSU PROVINCE HEYOU GROUP CO.,LTD;CN;2007;57.218
5819.;TIANJIN TEDA BIOCHEMICAL ENGINEERING COMPANY LIMITED;CN;2023;56.919
5820.;SHAANXI YANCHANG PETROLEUM GROUP FLUOROSILICON CHEMICAL CO., LTD.;CN;2022;56.808
5821.;QUZHOU WEIRONG PHARMACEUTICAL & CHEMICAL CO., LTD.;CN;2023;56.553
5822.;SUNJIN BEAUTY SCIENCE CO., LTD.;KR;2023;56.323
5823.;CHUNG HWA CHEMICAL INDUSTRIAL WORKS,LTD.;TW;2023;56.213
5824.;C'BON COSMETICS CO LTD;JP;2023;56.192
5825.;CHONGQING 845 CHEMICAL CO., LTD.;CN;2009;56.181
5826.;COMPANHIA ALCOOLQUIMICA NACIONAL-ALCOOLQUIMICA;BR;2020;56.083
5827.;SHANDONG PROVINCE HUANTAIBOHUISHEHUI WELFARE CHEMICAL CO.,LTD;CN;2013;55.949
5828.;SOIKEN HOLDINGS INC.;JP;2023;55.770
5829.;ZHEJIANG HAISEN PHARMACEUTICAL CO.,LTD.;CN;2023;55.762
5830.;DNIPROAZOT JSC AT;UA;2023;55.729
5831.;MABUHAY VINYL CORPORATION;PH;2023;55.668
5832.;IBU-TEC ADVANCED MATERIALS AG;DE;2023;55.637
5833.;SHANDONG HUIDONG NEW ENERGY CO., LTD.;CN;2020;55.005
5834.;NALCO SAUDI COMPANY LTD;SA;2023;55.000
5835.;HUBEI KEPUDA POLYMER MATERIALS CO., LTD.;CN;2014;54.901
5836.;SHANGYU XINHECHENG BIOLOGY CHEMICAL INDUSTRY CO.,LTD;CN;2007;54.879
5837.;TAEKYUNG CHEMICAL CO.,LTD.;KR;2023;54.869
5838.;NEW EAST NEW MATERIALS COMPANY LIMITED;CN;2023;54.844
5839.;SICHUAN WEIYUAN SHINIU CHEMICAL INDUSTRY(GROUP)CO., LTD.;CN;2007;54.791
5840.;YUNNAN YUNTIANHUA GUFENYOUXIANGONGSI CHONGQING BRANCH;CN;2014;54.690
5841.;JIANGXI XINYU GUOKE TECHNOLOGY CO.,LTD;CN;2023;54.504
5842.;KELTECH ENERGIES LTD;IN;2023;54.487
5843.;ANHUI LONGHUA CHEMICAL INDUSTRY CO,.LTD.;CN;2022;54.399
5844.;KORYO NOBEL EXPLOSIVES CO.,LTD;KR;2023;54.263
5845.;COCHIN MINERALS AND RUTILE LIMITED;IN;2022;54.240
5846.;ZHONGYANJILANTAI SALINIZATION GROUP CO.,LTD;CN;2007;54.142
5847.;ZHEJIANG MILLENNIUM LONGXIAN SPECIAL FIBER CO.,LTD.;CN;2022;54.117
5848.;SHANDONG POLYMER BIOCHEMICALS CO.,LTD.;CN;2023;53.806
5849.;LETONG CHEMICAL CO.,LTD.;CN;2023;53.681
5850.;CHEMBOND CHEMICALS LIMITED;IN;2022;53.666
5851.;HEBEI TSAKER NEW MATERIALS TECHNOLOGY CO., LTD.;CN;2023;53.532
5852.;TANTECH HOLDINGS LTD;VG;2022;53.490
5853.;NFC PUBLIC COMPANY LIMITED;TH;2023;53.480
5854.;KAIFENG LONGYU CHEMICAL CO., LTD.;CN;2015;53.416
5855.;JIANGSU INSTITUTE OF ECOMONES CO., LTD.;CN;2022;53.407
5856.;SHARP MINT LIMITED;IN;2022;52.912
5857.;CHANGZHI HUHUA GROUP CO.,LTD;CN;2007;52.876
5858.;ISAMU PAINT CO., LTD.;JP;2023;52.860
5859.;CONG TY CO PHAN HOA CHAT VIET TRI;VN;2023;52.742
5860.;HUNAN HAOHUA CHEMICAL CO., LTD;CN;2022;52.732
5861.;LIMIN CHEMICAL CO., LTD.;CN;2007;52.715
5862.;TITAN KOGYO LTD;JP;2023;52.582
5863.;PINDAD, PT (PERSERO);ID;2004;52.420
5864.;BLACK ROSE INDUSTRIES LTD;IN;2022;52.380
5865.;PT COLORPAK INDONESIA TBK;ID;2023;52.303
5866.;WUXI HONGHUI NEW MATERIALS TECHNOLOGY CO.,LTD.;CN;2023;52.266
5867.;SHUANG-BANG INDUSTRIAL CORP.;TW;2023;52.243
5868.;BEIJING LONGAGE AMMS BIOLOGICAL TECHNOLOGY CO.,LTD.;CN;2021;52.151
5869.;SHAN XI BEI FANG JIN DONG CHEMICAL CO., LTD.;CN;2020;52.007
5870.;GANSU YATAI INDUSTRIAL DEVELOPMENT CO.,LTD.;CN;2023;52.004
5871.;LINCOTRADE & ASSOCIATES HOLDINGS LIMITED;SG;2023;51.803
5872.;SHANDONG QILU HUAXIN INDUSTRY CO., LTD.;CN;2023;51.689
5873.;PHU BAI SPINNING JOINT STOCK COMPANY;VN;2023;51.603
5874.;YANCON XINJIANG ENERGY CHEMICAL CO., LTD.;CN;2020;51.507
5875.;ANHUI TAIDA NEW MATERIALSCO.,LTD;CN;2022;51.455
5876.;THE NATIONAL DETERGENT COMPANY SAOG;OM;2022;51.355
5877.;FUZHOU YAOLONG CHEMICAL GROUP;CN;2010;51.340
5878.;DALIAN RUIKE TECHNOLOGY CO., LTD.;CN;2023;51.317
5879.;GANESH BENZOPLAST LIMITED;IN;2022;51.297
5880.;GINAR TECHNOLOGY CO.,LTD.;TW;2023;51.259
5881.;MOBI INDUSTRY COMPANY- PUBLIC JOINT STOCK COMPANY;SA;2022;50.870
5882.;FUJIAN BAICHUAN RESOURCES RECYCLING SCIENCE & TECHNOLOGY CO.,LTD.;CN;2022;50.867
5883.;ASIA FIBER HOLDINGS LIMITED;US;2001;50.758
5884.;PAKISTAN SYNTHETICS LIMITED;PK;2023;50.369
5885.;SUGAI CHEMICAL INDUSTRY CO LTD;JP;2023;50.362
5886.;COMANCHE CLEAN ENERGY CORPORATION;KY;2008;50.350
5887.;TAIZHOU DONGLIAN CHEMICAL CO., LTD.;CN;2018;50.291
5888.;RECKITT BENCKISER (BANGLADESH) PLC;BD;2022;50.197
5889.;IOFINA PLC;GB;2023;50.019
5890.;AIR LIQUIDE EGYPT SAE;EG;2022;50.000
5891.;EVA CORPORATION FOR COSMETICS S.A.E;EG;2023;50.000
5892.;BAKHTAR PETROCHEMICAL COMPANY;IR;2016;50.000
5893.;KAVEH METHANOL COMPANY;IR;2017;50.000
5894.;HUIKWANG CORPORATION;TW;2023;49.813
5895.;SAUDI TOP TRADING COMPANY;SA;2022;49.745
5896.;GUANGDONG XINXIU NEW MATERIALS CO.,LTD.;CN;2022;49.533
5897.;JIAXIANG JINSHIZHANG FIRECRACKERS PRODUCTION BASE;CN;2010;49.369
5898.;LINDE BANGLADESH LIMITED;BD;2022;49.356
5899.;VIKAS ECOTECH LIMITED;IN;2022;49.309
5900.;SHENZHEN LANTERN SCIENCE CO.,LTD;CN;2022;49.100
5901.;SHANDONG GUO JIN CHEMICAL PLANT;CN;2018;49.084
5902.;NPK CO.,LTD.;KR;2023;48.851
5903.;VIDHI SPECIALTY FOOD INGREDIENTS LIMITED;IN;2022;48.792
5904.;INK TEC CO.,LTD.;KR;2023;48.712
5905.;SUZHOU JIREN HI-TECH MATERIAL COMPANY LIMITED;CN;2022;48.599
5906.;SUNGBO CHEMICALS CO.,LTD.;KR;2023;48.559
5907.;STRATA PRODUCTS LIMITED;GB;2022;48.457
5908.;TATVA CHINTAN PHARMA CHEM LIMITED;IN;2023;48.098
5909.;YIMA MEIYE ZONG CAN NEW ENERGY CO., LTD.;CN;2020;48.002
5910.;SHANDONG TAIXING ADVANCED MATERIAL CO.,LTD.;CN;2022;48.001
5911.;EG CORPORATION;KR;2023;47.928
5912.;KARINA PLASTICOS LTDA;BR;2022;47.919
5913.;SHANGHAI STO CO., LTD.;CN;2019;47.874
5914.;APPLIED DB PCL;TH;2023;47.836
5915.;UAC GLOBAL PUBLIC COMPANY LIMITED;TH;2023;47.712
5916.;UPL AGRO;MX;2023;47.672
5917.;SHENZHEN SUNRISE NEW ENERGY CO.,LTD.;CN;2023;47.671
5918.;GUANGDONG SKYCHEM TECHNOLOGY CO.,LTD.;CN;2023;47.614
5919.;SHAANXI KELONG NEW MATERIALS TECHNOLOGY CO.,LTD;CN;2022;47.462
5920.;YUANPING CHEMICAL CO., LTD.;CN;2007;47.061
5921.;PAINTS AND CHEMICAL INDUSTRIES COMPANY S.A.E.;EG;2022;46.952
5922.;ZHEJIANG ROCK NEW MATERIAL CO., LTD.;CN;2022;46.924
5923.;DMCC SPECIALITY CHEMICALS LIMITED;IN;2022;46.834
5924.;ACI FORMULATIONS LIMITED;BD;2023;46.795
5925.;VIBRANTZ MINERALS;BE;2023;46.778
5926.;DO DAY DREAM PUBLIC COMPANY LIMITED;TH;2023;46.492
5927.;JIANGSU OPPEAL DAILY CHEMICAL CO.,LTD.;CN;2022;46.435
5928.;GUANGDONG ZHONGCHENG CHEMICALS CO., LTD.;CN;2015;46.250
5929.;KAIFENG DONGDA CHEMICAL GROUP CO., LTD.;CN;2007;46.220
5930.;JOINT-STOCK COMPANY CHROMPIK;RU;2021;46.168
5931.;TANFAC INDUSTRIES LIMITED;IN;2022;46.166
5932.;MELLER GROUP LIMITED;GB;2022;46.022
5933.;ASIA CARBON INDUSTRIES, INC.;US;2012;45.938
5934.;KD CHEM CO.,LTD.;KR;2023;45.871
5935.;PLUM-MONIX INDUSTRY CO., LTD.;TW;2023;45.776
5936.;SHIJIAZHUANG SHUANGLIAN CHEMICAL INDUSTRY CO., LTD.;CN;2014;45.712
5937.;HARBIN HUAER CHEMICAL CO., LTD;CN;2008;45.653
5938.;DOW BELGIUM;BE;2022;45.422
5939.;AKTSIONERNOE OBSHCHESTVO PROMSINTEZ;RU;2023;45.115
5940.;PODDAR PIGMENTS LIMITED;IN;2023;45.040
5941.;JINDAL DRUGS PRIVATE LIMITED;IN;2019;45.040
5942.;LASHEEN PLAST;EG;2022;45.000
5943.;HUNTSMAN POLYURETHANES (UK) LIMITED;GB;2022;44.794
5944.;RELIANCE UNICORN ENTERPRISES PRIVATE LIMITED;IN;2013;44.706
5945.;Q.B. INDUSTRIAS S.A. DE C.V.;MX;2010;44.517
5946.;SHAANXI DINGTIANJINONG HUMIC ACID PRODUCT CO., LTD.;CN;2022;44.508
5947.;FORMOSAN RUBBER GROUP INC.;TW;2023;44.417
5948.;ZHEJIANG BOFAY ELECTRIC CO.,LTD.;CN;2023;44.252
5949.;COMPANIA CHILENA DE FOSFOROS S.A.;CL;2023;44.201
5950.;SHANGHAI QXQC NEW MATERIAL TECHNOLOGY CO.,LTD;CN;2022;44.058
5951.;CONG TY CO PHAN BAO VE THUC VAT SAI GON;VN;2023;43.912
5952.;NATURAL BEAUTY BIO-TECHNOLOGY LIMITED;KY;2023;43.790
5953.;OTKRYTOE AKTSIONERNOE OBSHCHESTVO VITEBSKIY OBLAGROSERVIS;BY;2023;43.761
5954.;HUB.TECH S.A.;PL;2023;43.668
5955.;TRANS-SUN MATERIALS TECHNOLOGY CO., LTD.;TW;2023;43.654
5956.;ZAPOROZHSKY ABRASIVNY COMBINAT (ZAPOROZHABRASIVE) PRIVATE AT;UA;2023;43.620
5957.;FUJIAN ZHENGQI HIGH FIBRE TECHNOLOGY CO., LTD.;CN;2022;43.620
5958.;CRYOGAZ LTD.;RU;2023;43.568
5959.;ANTEC INTERNATIONAL LIMITED;GB;2022;43.515
5960.;CONG TY CO PHAN NHUA HA NOI;VN;2016;43.233
5961.;PAN ASIA CHEMICAL CO.;TW;2023;43.053
5962.;JILIN JOINATURE POLYMER CO.,LTD.;CN;2023;43.010
5963.;JIANGSU YONGCHUANG PHARMACEUTICAL TECHNOLOGY CO.,LTD.;CN;2023;42.808
5964.;GRIFAL S.P.A.;IT;2023;42.520
5965.;HUNAN CHANGLIAN XINGCHANG GROUP CO., LTD.;CN;2017;42.429
5966.;KARYON INDUSTRIES BERHAD;MY;2022;42.428
5967.;JIANGSU DONGBAO PESTICIDE CHEMICAL CO.,LTD;CN;2022;42.379
5968.;YUNNAN RUN JIE AGRICULTURAL SCIENCE AND TECHNOLOGY CO.,LTD;CN;2023;42.348
5969.;MAYNE PHARMA INTERNATIONAL PTY LTD;AU;2006;42.286
5970.;YUNNAN XIANGFENG CHEMICAL FERTILIZER CO., LTD.;CN;2021;42.109
5971.;TANGSHAN ZHONGTAO HOME FURNISHINGS CO., LTD;CN;2022;42.075
5972.;CONG TY CO PHAN PHAN LAN NUNG CHAY VAN DIEN;VN;2023;41.968
5973.;MEIYA UPDATED HIGH-TECH MATERIAL INDUSTRY CO.,LTD;CN;2022;41.804
5974.;KAWAKAMI PAINT MANUFACTURING CO LTD;JP;2023;41.792
5975.;BEST BRISTLE COMPANY CO., LTD.;KR;2023;41.571
5976.;SHANDONG KAIRI CHEMICAL CO., LTD.;CN;2016;41.563
5977.;LAIZHOU CHENGYUAN SALT CHEMICAL CO., LTD.;CN;2020;41.523
5978.;QIXIAN JINYUAN FERTILIZER CO., LTD.;CN;2007;41.508
5979.;CHITEC TECHNOLOGY CO., LTD.;TW;2023;41.498
5980.;NANOREPRO AG;DE;2022;41.425
5981.;JILINSANSANLINGWU MACHINERY FACTORY;CN;2020;41.407
5982.;ANHUI WENSHENG BIOENGINEERING CO.,LTD.;CN;2022;41.327
5983.;BUILDING ADHESIVES LIMITED;GB;2022;41.288
5984.;SUZHOU 3N MATERIALS TECHNOLOGY CO., LTD.;CN;2022;41.285
5985.;JINSANJIANG (ZHAOQING) SILICON MATERIAL COMPANY LIMITED;CN;2023;41.175
5986.;A-1 ACID LIMITED;IN;2022;40.947
5987.;NOW COS CO.,LTD.;KR;2023;40.903
5988.;BAIKOWSKI;FR;2023;40.813
5989.;SANKEI CHEMICAL CO LTD;JP;2023;40.809
5990.;SHANDONG HAIHUA CO., LTD. SHEEP SALT FIELD;CN;2019;40.809
5991.;CONG TY CO PHAN CAO SU DAK LAK;VN;2023;40.603
5992.;ZHEJIANG SAINON CHEMICAL CO.,LTD;CN;2023;40.593
5993.;ROYAL COSMETIC COMPANY;EG;2022;40.503
5994.;WEILAI DAILY CHEMICAL ( GUANGZHOU ) CO.,LTD;CN;2007;40.501
5995.;WUXI WANLI ADHESION MATERIALS CO.,LTD.;CN;2022;40.461
5996.;CHEMFAB ALKALIS LIMITED;IN;2022;40.304
5997.;CHERNG TAY TECHNOLOGY CO., LTD.;TW;2023;40.273
5998.;AKSHARCHEM (INDIA) LIMITED;IN;2022;40.227
5999.;BOLTON BELGIUM;BE;2022;40.198
6000.;STERLING PERFUMES INDUSTRIES (L.L.C.);AE;2023;40.000
6001.;ECO&DREAM CO.,LTD.;KR;2023;39.906
6002.;LAN FA TEXTILE CO.,LTD.;TW;2023;39.876
6003.;HENAN PROVINCE QING CHEMICAL INDUSTRY CO.,LTD;CN;2007;39.737
6004.;UNILEVER CARIBBEAN LIMITED;TT;2022;39.642
6005.;CQV CO.,LTD.;KR;2023;39.632
6006.;HEADWAY ADVANCED MATERIALS INC;TW;2023;39.539
6007.;DEUTSCHE ICI GMBH;DE;1999;39.481
6008.;ANPARIO PLC;GB;2023;39.477
6009.;TOR MINERALS INTERNATIONAL INC;US;2018;39.434
6010.;SHANKAR LAL RAMPAL DYE-CHEM LIMITED;IN;2022;39.361
6011.;KRISHANA PHOSCHEM LTD;IN;2022;39.272
6012.;HINDUSTAN ADHESIVES LIMITED;IN;2022;39.119
6013.;QUANG NINH PINE JOINT STOCK COMPANY;VN;2023;39.086
6014.;SHANDONG HUAMAO NEW MATERIALS CO., LTD.;CN;2014;39.072
6015.;HONG YI FIBER INDUSTRY CO.,LTD;TW;2023;39.070
6016.;BEIJING LVSAN TECHNOLOGY CO., LTD.;CN;2023;38.893
6017.;FOSROC INTERNATIONAL LIMITED;GB;2022;38.859
6018.;PROCTER & GAMBLE (HEALTH & BEAUTY CARE) LIMITED;IE;2014;38.807
6019.;DYNEA PAKISTAN LIMITED;PK;2023;38.744
6020.;SONID INC.;KR;2023;38.405
6021.;SENTIEN PRINTING FACTORY CO.,LTD;TW;2023;38.381
6022.;FLEXIBLE SOLUTIONS INTERNATIONAL, INC.;US;2023;38.325
6023.;WUHAI CHEMICAL INDUSTRY CO.,LTD;CN;2007;38.061
6024.;KAIFENG CHEMICAL PRODUCTS CO., LTD.;CN;2009;38.011
6025.;ANHUI LINGHU PAINT CO.,LTD.;CN;2022;37.880
6026.;SHANXI TENGMAO TECHNOLOGY CO., LTD;CN;2022;37.641
6027.;HEILONGJIANG TAINA TECHNOLOGY GROUP CO.,LTD.;CN;2022;37.619
6028.;UNILEVER MASHREQ HOME CARE;EG;2019;37.516
6029.;AQASEEM FACTORY FOR CHEMICALS AND PLASTICS CO SAUDI JOINT STOCK COMPANY - CLOSED;SA;2022;37.470
6030.;QIAN'AN FERTILIZER CO., LTD.;CN;2007;37.459
6031.;MACDERMID PERFORMANCE SOLUTIONS UK LIMITED;GB;2022;37.429
6032.;NANOPHASE TECHNOLOGIES CORPORATION;US;2023;37.297
6033.;LUMING SCIENCE AND TECHNOLOGY GROUP CO., LTD.;CN;2013;37.279
6034.;NUTRIPLANT INDUSTRIA E COMERCIO S.A.;BR;2023;37.173
6035.;SIGACHI INDUSTRIES LIMITED;IN;2022;37.155
6036.;DR.WU SKINCARE CO., LTD.;TW;2023;37.014
6037.;PT MARK DYNAMICS INDONESIA TBK;ID;2023;36.863
6038.;DATONG XINGYU FIBER CO., LTD.;CN;2008;36.727
6039.;ASTECH CO., LTD.;KR;2023;36.714
6040.;SHANXI JIANGYANG XINGAN EXPLOSIVE EQUIPMENT CO., LTD.;CN;2014;36.553
6041.;ALFRECELL LIMITED;GB;2022;36.424
6042.;NINGXIA JINYUYUAN CHEMICAL GROUP CO., LTD.;CN;2022;36.408
6043.;SD BIOTECHNOLOGIES CO., LTD.;KR;2023;36.407
6044.;BOLAK CO.,LTD.;KR;2023;36.276
6045.;GUANGZHOU STARTEC SCIENCE AND TECHNOLOGY CO.,LTD.;CN;2022;36.063
6046.;LILING HUAXIN FIREWORKS MANUFACTURING CO., LTD.;CN;2014;36.033
6047.;VALENCE BONDING TECHNOLOGY (SHANGHAI) CO.,LTD.;CN;2022;35.946
6048.;BRISTOL - MYERS SQUIBB DELTA COMPANY LIMITED;IE;2021;35.886
6049.;GUODIAN CHIFENG CHEMICAL CO., LTD.;CN;2014;35.831
6050.;RELIANCE VENTURES LIMITED;IN;2022;35.678
6051.;SEBITCHEM CO.,LTD.;KR;2023;35.668
6052.;PANJIN ZHENAO CHEMICAL INDUSTRY CO.,LTD;CN;2010;35.584
6053.;SHANDONG MINGDA CHEMICAL TECHNOLOGY CO.,LTD;CN;2022;35.365
6054.;BEIJING AOJIA ECOLOGICAL AGRICULTURE CO.,LTD.;CN;2022;35.325
6055.;TAH KONG CHEMICAL INDUSTRIAL CORPORATION;TW;2023;35.212
6056.;AECI MINING EXPLOSIVES PLC;ZM;2023;35.122
6057.;NINGBO XIANFENG NEW MATERIAL CO.,LTD;CN;2023;35.008
6058.;ABU ZAABAL FERTILIZERS AND CHEMICALS SAE;EG;2022;35.000
6059.;SHANGHAI SHENGNONG PESTICIDE.CO.,LTD;CN;2022;34.695
6060.;CSA COSMIC CO.,LTD.;KR;2023;34.579
6061.;CPL AROMAS LIMITED;GB;2022;34.321
6062.;THE ARAB PESTICIDES & VETERINARY DRUGS MFG. CO.PUBLIC SHAREHOLDING COMPANY;JO;2022;34.238
6063.;SUNSHIELD CHEMICALS LTD;IN;2023;34.167
6064.;GUANGXI LUZHAI CHEMICAL FERTILIZER GENERAL PLANT;CN;2006;34.067
6065.;LUOYANG RUHUA CHEMICAL INDUSTRY CO.,LTD;CN;2007;34.051
6066.;PEARL RIVER HOLDINGS LIMITED;CA;2023;34.018
6067.;SUZHOU BOYANG CHEMICAL CO., LTD.;CN;2022;33.934
6068.;GUANGDONG KODEST ECO-TECHNOLOGY INC CO.LTD;CN;2022;33.892
6069.;ZHEJIANG TAI CHUEN NEW MATERIAL TECHNOLOGY CO., LTD.;CN;2022;33.787
6070.;TANGSHAN TANGGANG GAS CO., LTD.;CN;2022;33.765
6071.;UNIS GINEX D.D. GORAZDE;BA;2022;33.742
6072.;CHEMCON SPECIALITY CHEMICALS LIMITED;IN;2023;33.617
6073.;BEIJING OILCHEMLEADER SCIENCE TECHNIC DEVELOPMENT COMPANY LIMITED;CN;2022;33.609
6074.;SHENZHEN ORIGINAL ADVANCED COMPOUNDS CO., LTD.;CN;2023;33.441
6075.;BAWANG INTERNATIONAL (GROUP) HOLDING LIMITED;KY;2023;33.419
6076.;RAM TECH CO.,LTD.;KR;2023;33.330
6077.;JIANGSU FENGYE TECHNOLOGY & ENVIRONMENTAL GROUP CORPORATION LIMITED;CN;2022;33.239
6078.;HEXCEL FIBERS;FR;2022;33.170
6079.;SHANDONG AOXING NEW MATERIAL CO. LTD;CN;2022;32.972
6080.;SHANGHAI HONGDA NEW MATERIAL CO.,LTD.;CN;2023;32.734
6081.;KAHIRA PHARMACEUTICALS & CHEMICAL INDUSTRIES CO. S.A.E;EG;2023;32.726
6082.;SIRCA PAINTS INDIA LTD;IN;2022;32.574
6083.;SHANNXI CHEMICAL INDUSTRY GENERAL FACTORY;CN;2007;32.471
6084.;NEW ORIENTAL ENERGY & CHEMICAL CORP.;US;2009;32.464
6085.;RUIHONG (SUZHOU) ELECTRONIC CHEMICALS CO., LTD;CN;2022;32.402
6086.;HUBEI WEIDONG CHEMICAL INDUSTRY STOCK CO.,LTD;CN;2022;32.122
6087.;JIANGSU HUIFENG BIO AGRICULTURE CO., LTD.;CN;2023;32.076
6088.;JIANGXI HITO SILICONE MATERIALS CO.,LTD.;CN;2022;32.044
6089.;ZHEJIANG TIANSHI NANOMETER SCIENCE AND TECHNOLOGY CO., LTD;CN;2022;32.018
6090.;JYOTI RESINS & ADHESIVES LIMITED;IN;2022;31.800
6091.;BEIJING BEIHUA GAOKE NEW-TECH CO.,LTD.;CN;2022;31.360
6092.;P&H TECH CO.,LTD.;KR;2023;31.163
6093.;AVOCADO RESEARCH CHEMICALS LIMITED;GB;2022;31.125
6094.;INNOVATION MEILAND (HEFEI) COMPANY LIMITED;CN;2022;30.864
6095.;QINGHAI GUILU CHEMICAL CO., LTD.;CN;2014;30.794
6096.;PT EMDEKI UTAMA TBK;ID;2023;30.765
6097.;ANALABS RESOURCES BHD;MY;2023;30.757
6098.;JIANGXI YUNENG PHARMACEUTICAL CO., LTD.;CN;2023;30.604
6099.;A. SCHULMAN 'S-GRAVENDEEL B.V.;NL;2022;30.582
6100.;PT ASIAPLAST INDUSTRIES TBK;ID;2023;30.543
6101.;LIAONING NORTHERN COAL CHEMICAL INDUSTRY (GROUP) CO., LTD.;CN;2014;30.526
6102.;PAKISTAN OXYGEN LIMITED;PK;2023;30.466
6103.;NINH BINH PHOSPHATE FERTILIZER JOINT STOCK COMPANY;VN;2023;30.443
6104.;WU HAN SHIQUANXING NEW MATERIAL TECHNOLG CO.,LTD;CN;2022;30.421
6105.;KOOR INDUSTRIES LIMITED;IL;2013;30.280
6106.;CHINA LUCKY GROUP CORPORATION;CN;2021;30.238
6107.;BEIJING HUATENG HIGHTECH CORP.;CN;2022;30.108
6108.;GLIDDEN CO;US;2022;30.100
6109.;MAGHREB OXYGENE SA;MA;2023;30.061
6110.;CAIRO OILS & SOAP S.A.E;EG;2023;30.061
6111.;MY WAY EGYPT COSMETICS COMPANY;EG;2020;30.000
6112.;BRIGHT STAR TOY FACTORY LIMITED;HK;2022;30.000
6113.;VEIAI GROUP COMPANY LIMITED;HK;2011;30.000
6114.;TIANHUI SILICONE (SHENZHEN) CO., LTD.;CN;2017;29.996
6115.;LANZHOU YULONG GAS CO.LTD.;CN;2022;29.951
6116.;ALFOT TECHNOLOGIES CO.,LTD;TW;2023;29.729
6117.;KAIRUI ENVIRONMENTAL PROTECTION TECHNOLOGY CO., LTD.;CN;2022;29.696
6118.;ATLANTIC PLASTICS LIMITED;GB;2022;29.647
6119.;ZHUHAI HERMESIN ENTERPRISES CO.,LTD;CN;2022;29.617
6120.;WEIFANGHANTINGBOHAI FISHERIES SYNTHESIZE DEVELOP CENTER;CN;2014;29.600
6121.;HUNAN KEREY PHARMACEUTICAL CO., LTD.;CN;2022;29.595
6122.;INNATURE BERHAD;MY;2023;29.517
6123.;LAIYANG CITY LIN BIOTECHNOLOGY CO.,LTD;CN;2013;29.498
6124.;ADJUVANT HOLDINGS CO.,LTD.;JP;2023;29.344
6125.;JIAXING JIETE NEW MATERIAL CO., LTD.;CN;2023;29.270
6126.;LILINGQINGPINGCHUKOU FIREWORKS FACTORY;CN;2014;29.222
6127.;ZHEJIANG NAMEI MATERIAL TECHNOLOGY CO.LTD;CN;2022;29.190
6128.;MAESA;FR;2022;29.164
6129.;JIANGSU ZHONGNENG CHEMICAL TECHNOLOGY CO.,LTD.;CN;2022;29.159
6130.;SHIN FOONG SPECIALTY AND APPLIED MATERIALS CO LTD;TW;2023;29.099
6131.;AVITA CORPORATION;TW;2023;28.884
6132.;FUJIAN TONGSHENG NEW MATERIALS TECHNOLOGY CO., LTD;CN;2022;28.810
6133.;FUJIAN SANMING TONGSHENG CHEMICAL CO.,LTD;CN;2022;28.793
6134.;ENEX CO.,LTD.;JP;2022;28.784
6135.;ANHUI CHINAHERB FLAVORS AND FRAGRANCES CO.,LTD.;CN;2023;28.673
6136.;SHIVALIK RASAYAN LIMITED;IN;2022;28.530
6137.;CLEMONDO GROUP AB (PUBL);SE;2023;28.506
6138.;PROCTER & GAMBLE (EGYPT) LIMITED;EG;2022;28.352
6139.;AVANTIUM N.V.;NL;2023;28.165
6140.;MISR CHEMICAL INDUSTRIES COMPANY S.A.E.;EG;2023;28.142
